name,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_0_E_0_S_35_B_89.pt,29362176,29364271,15781070.5,0.46253743251181384,0.462575777890076
R_1_E_0_S_37_B_125.pt,29381632,29383798,10270992.75,0.6504281058996314,0.6504538742745236
R_0_E_0_S_2_B_135.pt,29381632,29383791,10803771.25,0.6322950593758713,0.6323220768211971
R_1_E_0_S_8_B_49.pt,29362176,29364264,22881006.75,0.2207319120354023,0.22078732332606735
R_0_E_0_S_47_B_120.pt,29381632,29383798,8735516.25,0.7026878476321533,0.7027097637276162
R_0_E_0_S_2_B_90.pt,29381632,29383784,17986576.5,0.38782922269259923,0.3878740566565559
R_1_E_0_S_1_B_9.pt,29362176,29364257,23253040.5,0.20806140185250577,0.20811752533019992
R_0_E_0_S_13_B_44.pt,29362176,29364271,22596615.5,0.23041754466698927,0.23047245068675465
R_1_E_0_S_51_B_4.pt,29362176,29364264,16301040.5,0.4448285951286444,0.44486807161248787
R_0_E_0_S_45_B_10.pt,29381632,29383791,13405918.25,0.5437313267690508,0.543764851512863
R_1_E_0_S_32_B_74.pt,29362176,29364271,18242478.25,0.37870823163787315,0.3787525578278446
R_0_E_0_S_29_B_44.pt,29362176,29364271,18200450.5,0.38013958842832357,0.38018381249784816
R_1_E_0_S_43_B_44.pt,29362176,29364271,17584404.5,0.40112052662581954,0.4011632538059603
R_0_E_0_S_3_B_79.pt,29362176,29364264,25577744.75,0.12888796967908644,0.12894991170219694
R_1_E_0_S_20_B_115.pt,29381632,29383798,10848624,0.630768501899418,0.6307957194641755
R_1_E_0_S_25_B_69.pt,29362176,29364271,17051645.5,0.4192649243707278,0.4193063570350512
R_0_E_0_S_39_B_124.pt,29362176,29364278,17440589,0.40601851170703424,0.4060610310255202
R_0_E_0_S_48_B_94.pt,29362176,29364271,16682965.75,0.4318212059623919,0.43186174279620293
R_0_E_0_S_20_B_10.pt,29381632,29383791,13729992,0.5327015190987349,0.5327358542674089
R_0_E_0_S_21_B_85.pt,29381632,29383791,13083086,0.5547188801493396,0.5547515975729612
R_1_E_0_S_42_B_19.pt,29362176,29364271,15122188,0.484977271439283,0.4850140158425864
R_0_E_0_S_34_B_110.pt,29381632,29383798,11265141.25,0.6165923918045124,0.6166206543483589
R_0_E_0_S_5_B_65.pt,29381632,29383784,18318277.5,0.37653982256669744,0.37658548334006264
R_1_E_0_S_42_B_135.pt,29381632,29383798,6217004.5,0.7884050654504148,0.7884206629789655
R_0_E_0_S_7_B_65.pt,29381632,29383784,16676222,0.4324269666164221,0.4324685343453382
R_0_E_0_S_44_B_100.pt,29381632,29383798,11526378,0.6077012332058341,0.6077301511533669
R_1_E_0_S_4_B_100.pt,29381632,29383791,17698137,0.3976462233275538,0.39769048180338606
R_1_E_0_S_6_B_55.pt,29381632,29383784,16951445.75,0.42305976230319675,0.42310201606437076
R_0_E_0_S_12_B_64.pt,29362176,29364271,27150139.75,0.07533625062393196,0.0754022209507602
R_1_E_0_S_25_B_89.pt,29362176,29364271,15831422,0.4608225902603404,0.4608610579843784
R_0_E_0_S_9_B_45.pt,29381632,29383784,15289628.75,0.4796194864192704,0.47965759787779544
R_1_E_0_S_4_B_95.pt,29381632,29383784,17983664,0.38792834924894576,0.38797317595310393
R_0_E_0_S_43_B_4.pt,29362176,29364264,16926632.5,0.4235225447868714,0.4235635362766116
R_1_E_0_S_7_B_25.pt,29381632,29383784,16012719.25,0.45500919588129074,0.45504910974025675
R_1_E_0_S_41_B_15.pt,29381632,29383791,12706179.25,0.5675468520604982,0.5675786269375521
R_0_E_0_S_11_B_24.pt,29362176,29364271,22602110,0.23023041616534143,0.23028533553582856
R_0_E_0_S_52_B_35.pt,29381632,29383791,15267853.75,0.4803605956946163,0.48039877665887293
R_0_E_0_S_39_B_135.pt,29381632,29383798,6892933.75,0.7653999018842793,0.7654171952175821
R_0_E_0_S_51_B_75.pt,29381632,29383791,12579491,0.5718586700697905,0.5718901281322073
R_1_E_0_S_39_B_50.pt,29381632,29383791,13412890,0.5434940441701809,0.5435275863485416
R_0_E_0_S_45_B_15.pt,29381632,29383791,13435306.25,0.5427311100350042,0.5427647082706244
R_0_E_0_S_31_B_139.pt,29362176,29364278,18515365.5,0.3694143955815809,0.3694595351535631
R_0_E_0_S_20_B_30.pt,29381632,29383791,13888134.25,0.5273191683157695,0.5273538989574218
R_1_E_0_S_18_B_105.pt,29381632,29383798,12517392.75,0.5739721758818571,0.574003580136237
R_0_E_0_S_19_B_133.pt,135790592,135792310,35686913.25,0.7371915629471592,0.737194887913756
R_1_E_0_S_45_B_3.pt,135790592,135792296,60496838.25,0.5544843176617126,0.5544899082492868
R_0_E_0_S_27_B_102.pt,135790592,135792310,62596062,0.5390250452697047,0.5390308773744257
R_0_E_0_S_36_B_86.pt,135790592,135792303,66144433.25,0.5128938442951924,0.5128999818936718
R_0_E_0_S_24_B_129.pt,29362176,29364278,16909270,0.424113866765188,0.4241550907534658
R_1_E_0_S_17_B_74.pt,29362176,29364271,18289382.5,0.3771107938321737,0.3771552339916765
R_1_E_0_S_33_B_36.pt,135790592,135792303,66373095,0.5112099150433044,0.511216073859503
R_1_E_0_S_10_B_79.pt,29362176,29364271,22999900.75,0.2166826889805442,0.216738574916435
R_1_E_0_S_28_B_69.pt,29362176,29364271,17737168.75,0.3959177701952335,0.39596086856711
R_1_E_0_S_16_B_19.pt,29362176,29364271,15978640,0.45580872480295737,0.45584755024226553
R_0_E_0_S_2_B_9.pt,29362176,29364257,20063864.75,0.3166765041528257,0.3167249302442762
R_1_E_0_S_9_B_129.pt,29362176,29364271,20102195.5,0.31537105764913337,0.31541990264290914
R_0_E_0_S_1_B_19.pt,29362176,29364264,25521665.25,0.1307978928400947,0.13085969905460595
R_1_E_0_S_30_B_32.pt,135790592,135792303,64887617,0.5221493916161732,0.5221554125935989
R_0_E_0_S_33_B_86.pt,135790592,135792303,68913009.5,0.49250527238293507,0.4925116668799704
R_1_E_0_S_45_B_118.pt,135790592,135792310,41197649,0.6966089594778407,0.6966127978822954
R_0_E_0_S_2_B_123.pt,135790592,135792303,75641940.75,0.4429515356262678,0.4429585545065835
R_1_E_0_S_25_B_95.pt,29381632,29383791,12088157.5,0.5885811414423814,0.5886113708064422
R_0_E_0_S_26_B_113.pt,135790592,135792310,47232100.5,0.6521695663569977,0.6521739669941545
R_0_E_0_S_49_B_126.pt,135790592,135792310,43611375.25,0.6788336024781452,0.6788376657706169
R_1_E_0_S_1_B_22.pt,135790592,135792296,112793336.5,0.16935823875044304,0.1693686621220397
R_1_E_0_S_19_B_118.pt,135790592,135792310,49883917.5,0.6326408423051871,0.6326454900133889
R_0_E_0_S_47_B_15.pt,29381632,29383791,12972796.25,0.5584725773571734,0.5585050189745768
R_0_E_0_S_47_B_129.pt,29362176,29364278,15201347.25,0.482281311507703,0.48231837166233066
R_1_E_0_S_2_B_63.pt,135790592,135792296,94242962,0.30596839875328036,0.30597710786184806
R_1_E_0_S_34_B_51.pt,135790592,135792303,65587361,0.516996280567066,0.5170023664743354
R_0_E_0_S_38_B_71.pt,135790592,135792303,63788051,0.5302469039975907,0.5302528229453477
R_0_E_0_S_9_B_102.pt,135790592,135792303,75520050,0.4438491732917697,0.44385618086173856
R_0_E_0_S_8_B_6.pt,135790592,135792289,82077400.75,0.3955590034543778,0.3955665571702676
R_0_E_0_S_6_B_103.pt,135790592,135792303,85108047.5,0.37324047088623047,0.37324836813467993
R_1_E_0_S_13_B_86.pt,135790592,135792303,91095792.5,0.3291450375295514,0.3291534903859757
R_0_E_0_S_21_B_41.pt,135790592,135792303,64855576.5,0.522385346843469,0.5223913648478294
R_0_E_0_S_31_B_116.pt,135790592,135792310,53053492.5,0.6092992031436169,0.6093041461626214
R_0_E_0_S_3_B_122.pt,135790592,135792303,103426862.3,0.23833558181998352,0.23834517888690643
R_0_E_0_S_3_B_77.pt,135790592,135792296,104561213.5,0.2299819011025447,0.2299915637334831
R_1_E_0_S_0_B_56.pt,135790592,135792296,125465478.5,0.07603703134308451,0.07604862576298142
R_1_E_0_S_5_B_38.pt,135790592,135792296,73857640.75,0.4560916212074545,0.45609844648329684
R_0_E_0_S_1_B_81.pt,135790592,135792296,129421639.3,0.04690275413189155,0.04691471414549173
R_1_E_0_S_26_B_130.pt,29381632,29383798,10195796.25,0.6529874089363041,0.653012988654496
R_1_E_0_S_45_B_34.pt,29362176,29364271,17294576.75,0.41099131242861564,0.41103333537549763
R_1_E_0_S_45_B_111.pt,135790592,135792310,49172324.75,0.6378812108721051,0.6378857922808736
R_1_E_0_S_6_B_67.pt,135790592,135792296,83876813.25,0.3823076251851086,0.3823153763450616
R_0_E_0_S_20_B_107.pt,135790592,135792310,68413748.25,0.49618197223854804,0.4961883463798502
R_1_E_0_S_33_B_42.pt,135790592,135792303,63246737.75,0.5342332865740802,0.5342391552929182
R_1_E_0_S_40_B_112.pt,135790592,135792310,47547829,0.649844453141496,0.6498488831952266
R_0_E_0_S_14_B_114.pt,29362176,29364278,19753854.75,0.3272346453478107,0.3272828042971123
R_0_E_0_S_41_B_51.pt,135790592,135792303,63372513,0.5333070423612263,0.5333129227508573
R_1_E_0_S_29_B_64.pt,29362176,29364271,17962349.75,0.3882486859965692,0.38829233152084724
R_0_E_0_S_15_B_122.pt,135790592,135792310,59818224.75,0.5594818177830758,0.5594873910753856
R_1_E_0_S_19_B_41.pt,135790592,135792303,70945054.5,0.4775407231452382,0.4775473061974654
R_1_E_0_S_26_B_51.pt,135790592,135792303,66262647.5,0.5120232814067119,0.5120294299743926
R_1_E_0_S_51_B_64.pt,29362176,29364271,16687843.25,0.43165509088972154,0.4316956395750468
R_1_E_0_S_43_B_40.pt,29381632,29383791,14130931.75,0.5190555871777306,0.5190909249933067
R_1_E_0_S_24_B_54.pt,29362176,29364271,17646864,0.39899331711655156,0.39903619606289564
R_1_E_0_S_50_B_135.pt,29381632,29383798,6223681,0.788177831646656,0.7881934459255403
R_0_E_0_S_32_B_65.pt,29381632,29383791,13041876,0.5561214571062628,0.5561540714743036
R_1_E_0_S_33_B_70.pt,29381632,29383791,12764727.75,0.5655541615251324,0.5655860828168836
R_0_E_0_S_52_B_125.pt,29381632,29383798,10915795,0.6284823457049629,0.6285097317916493
R_1_E_0_S_33_B_71.pt,135790592,135792303,65902937.5,0.5146722867221906,0.514678401912073
R_1_E_0_S_3_B_47.pt,135790592,135792296,100586931.8,0.2592496264395106,0.25925892180216176
R_0_E_0_S_13_B_94.pt,29362176,29364271,22377814.25,0.23786935103174914,0.23792372540084514
R_0_E_0_S_6_B_70.pt,29381632,29383784,16468935.25,0.4394819440254374,0.4395229950642164
R_0_E_0_S_40_B_15.pt,29381632,29383791,13017136.75,0.5569634542424329,0.5569960067439903
R_0_E_0_S_37_B_39.pt,29362176,29364271,17091869.75,0.4178949901396954,0.4179365205422604
R_0_E_0_S_5_B_112.pt,135790592,135792303,101107456,0.25541633988899615,0.25542572173623124
R_1_E_0_S_48_B_88.pt,135790592,135792303,59954976.5,0.558474739546021,0.5584803028195199
R_1_E_0_S_16_B_34.pt,29362176,29364271,17940521,0.38899211693302294,0.3890357094170667
R_0_E_0_S_1_B_28.pt,135790592,135792296,113885225.5,0.16131726194992949,0.1613277862243378
R_0_E_0_S_40_B_60.pt,29381632,29383791,13036076.75,0.5563188338210757,0.556351433686688
R_0_E_0_S_8_B_105.pt,29381632,29383791,16056795,0.4535090834981529,0.4535492374009875
R_1_E_0_S_9_B_15.pt,29381632,29383784,14674648.5,0.5005502587466891,0.5005868372841292
R_1_E_0_S_51_B_45.pt,29381632,29383791,13585753,0.5376106745874429,0.5376446490515808
R_0_E_0_S_37_B_81.pt,135790592,135792303,66761417.75,0.5083501974127927,0.5083563922617912
R_0_E_0_S_50_B_66.pt,135790592,135792303,61453787,0.5474370787042449,0.5474427810536507
R_1_E_0_S_37_B_92.pt,135790592,135792303,63223743,0.5344026263616259,0.5344084929467615
R_1_E_0_S_5_B_4.pt,29362176,29364257,25039391.75,0.14722288463906763,0.14728331964946365
R_1_E_0_S_40_B_98.pt,135790592,135792303,57797542.5,0.5743626885432535,0.574368051626608
R_0_E_0_S_38_B_17.pt,135790592,135792303,57884958.25,0.5737189344457678,0.5737243056405046
R_1_E_0_S_5_B_5.pt,29381632,29383777,18194906.25,0.3807387469150795,0.38078395265523557
R_0_E_0_S_28_B_121.pt,135790592,135792310,55048448.5,0.5946077877029949,0.5946129165929941
R_0_E_0_S_1_B_105.pt,29381632,29383791,24548517.75,0.16449441099800038,0.1645558005091991
R_0_E_0_S_8_B_35.pt,29381632,29383784,16655259.5,0.4331404225605984,0.4331819380376605
R_0_E_0_S_48_B_102.pt,135790592,135792310,63320618,0.5336892116944302,0.5336951113063766
R_0_E_0_S_35_B_97.pt,135790592,135792303,62482051.25,0.5398646524053743,0.5398704501682986
R_0_E_0_S_5_B_2.pt,135790592,135792289,76456157.5,0.4369554151439298,0.43696245152771523
R_1_E_0_S_5_B_55.pt,29381632,29383784,17549405,0.4027082974832712,0.40275204173839557
R_1_E_0_S_6_B_109.pt,29362176,29364271,24261085.5,0.17372998854035887,0.17378893894556416
R_1_E_0_S_14_B_115.pt,29381632,29383798,11647627,0.6035745393584673,0.6036037615014914
R_1_E_0_S_23_B_25.pt,29381632,29383791,13502131.5,0.5404567213965514,0.540490486744886
R_0_E_0_S_1_B_58.pt,135790592,135792296,122666070.8,0.09665265506759113,0.09666399079075885
R_1_E_0_S_9_B_120.pt,29381632,29383791,11254836,0.6169431296396334,0.6169712750815577
R_0_E_0_S_31_B_50.pt,29381632,29383791,13566969.75,0.5382499600430637,0.538283887535138
R_1_E_0_S_40_B_4.pt,29362176,29364264,16473523,0.43895428594937924,0.4389941801367812
R_0_E_0_S_26_B_24.pt,29362176,29364271,16799935.75,0.42783750938622533,0.4278783304376942
R_0_E_0_S_24_B_84.pt,29362176,29364271,16951393.25,0.42267925749099794,0.42272044655901725
R_1_E_0_S_30_B_138.pt,135790592,135792310,46057357.25,0.6608207050897901,0.6608249962755622
R_0_E_0_S_8_B_38.pt,135790592,135792296,76808026,0.43436415683348667,0.43437125475807553
R_1_E_0_S_35_B_6.pt,135790592,135792296,64978301.75,0.5214815636859437,0.5214875684110974
R_0_E_0_S_7_B_113.pt,135790592,135792303,67474710.5,0.5030973095691342,0.5031035706051763
R_0_E_0_S_10_B_138.pt,135790592,135792310,85973388.25,0.36686785893090446,0.3668758691121758
R_1_E_0_S_33_B_52.pt,135790592,135792303,63400896.5,0.5330980183074834,0.5331039013308435
R_0_E_0_S_18_B_28.pt,135790592,135792303,63860889,0.5297105045392246,0.5297164302456819
R_1_E_0_S_23_B_68.pt,135790592,135792303,61072069.5,0.5502481534214093,0.5502538203509223
R_1_E_0_S_17_B_12.pt,135790592,135792303,64124435,0.527769677887552,0.5277756280486678
R_1_E_0_S_22_B_17.pt,135790592,135792303,64350898.25,0.5261019390062015,0.5261079101810359
R_1_E_0_S_49_B_56.pt,135790592,135792303,62096998.75,0.5427002869977914,0.5427060490313652
R_0_E_0_S_14_B_33.pt,135790592,135792303,71993724.25,0.46981802502193964,0.469824705381129
R_1_E_0_S_35_B_3.pt,135790592,135792296,59052141,0.5651234733552086,0.5651289304365249
R_1_E_0_S_30_B_132.pt,135790592,135792310,34702336.25,0.7444422640855708,0.7444454973186626
R_1_E_0_S_6_B_12.pt,135790592,135792296,74344865.25,0.45250356335437436,0.45251043365523475
R_1_E_0_S_45_B_98.pt,135790592,135792303,58915479.5,0.5661298869659541,0.5661353537836382
R_1_E_0_S_34_B_37.pt,135790592,135792303,65108633,0.5205217678114255,0.5205278092971146
R_0_E_0_S_26_B_71.pt,135790592,135792303,67877615.75,0.5001302023191709,0.5001365007411356
R_1_E_0_S_0_B_122.pt,135790592,135792303,99122365.5,0.270035103020981,0.2700443006699724
R_0_E_0_S_47_B_128.pt,135790592,135792310,33186249,0.7556071557593622,0.7556102477378873
R_0_E_0_S_35_B_138.pt,135790592,135792310,42588978.5,0.68636281886156,0.6863667868968427
R_0_E_0_S_23_B_128.pt,135790592,135792310,44454849.5,0.6726220215609635,0.6726261634403303
R_1_E_0_S_31_B_113.pt,135790592,135792310,43348241.5,0.6807713932052082,0.6807754319813839
R_1_E_0_S_40_B_132.pt,135790592,135792310,32561531.25,0.7602077524634402,0.7602107862367169
R_0_E_0_S_4_B_84.pt,29362176,29364264,25201773.25,0.14169258947293278,0.1417536210000019
R_1_E_0_S_4_B_94.pt,29362176,29364200,26052491.5,0.11271931957631479,0.1127804775883559
R_0_E_0_S_12_B_110.pt,29381632,29383798,19773131,0.32702407408819223,0.32707368189775876
R_1_E_0_S_46_B_93.pt,135790592,135792303,50030132,0.6315640777234405,0.6315687200621378
R_1_E_0_S_2_B_44.pt,29362176,29364264,24501974,0.16552594739572435,0.1655852842080428
R_1_E_0_S_19_B_95.pt,29381632,29383791,13305123.5,0.5471618628944778,0.5471951355766177
R_0_E_0_S_18_B_75.pt,29381632,29383791,13997830.25,0.5235856793114828,0.5236206842745377
R_0_E_0_S_44_B_49.pt,29362176,29364271,17060519,0.4189627158423136,0.419004170067767
R_1_E_0_S_37_B_12.pt,135790592,135792303,60478570.25,0.5546188483367095,0.5546244601949198
R_0_E_0_S_39_B_3.pt,135790592,135792296,60534169.25,0.5542094017087723,0.5542149957461504
R_0_E_0_S_52_B_47.pt,135790592,135792303,68228513,0.4975460965661008,0.49755242754812107
R_0_E_0_S_40_B_44.pt,29362176,29364271,17934722.75,0.38918959037640805,0.38923316877166814
R_1_E_0_S_39_B_22.pt,135790592,135792303,59784366,0.5597311631132738,0.5597367105556785
R_0_E_0_S_7_B_123.pt,135790592,135792303,68654309.25,0.494410413572687,0.4944167840647051
R_1_E_0_S_47_B_81.pt,135790592,135792303,64427198.5,0.5255400425678974,0.5255460208226972
R_1_E_0_S_49_B_86.pt,135790592,135792303,65315824.5,0.5189959515015591,0.5190020122127246
R_1_E_0_S_41_B_82.pt,135790592,135792303,63944897,0.5290918460683933,0.5290977795700247
R_1_E_0_S_3_B_1.pt,135790592,135792289,102020489.3,0.2486925069889967,0.24870189609956425
R_1_E_0_S_7_B_58.pt,135790592,135792296,80694442,0.4057434995202024,0.40575095659329596
R_0_E_0_S_21_B_28.pt,135790592,135792303,61375789.25,0.5480114760085882,0.5480171711205163
R_1_E_0_S_6_B_31.pt,135790592,135792296,79193231.75,0.4167988327939538,0.41680615113835323
R_0_E_0_S_40_B_81.pt,135790592,135792303,65882240,0.5148247089165058,0.5148308221858495
R_1_E_0_S_45_B_16.pt,135790592,135792303,64530879,0.5247765102901975,0.5247824981655993
R_0_E_0_S_30_B_91.pt,135790592,135792303,67445644,0.5033113634264147,0.5033176217653514
R_0_E_0_S_8_B_82.pt,135790592,135792296,86570832.75,0.36246811008821583,0.36247611020583964
R_0_E_0_S_33_B_11.pt,135790592,135792303,64747222.75,0.5231832942447147,0.523189302194838
R_1_E_0_S_21_B_127.pt,135790592,135792310,60139322.75,0.5571171620637754,0.5571227652729378
R_1_E_0_S_9_B_1.pt,135790592,135792289,78110568.5,0.4247718685842389,0.4247790572261434
R_0_E_0_S_23_B_26.pt,135790592,135792303,68616540.75,0.4946885513983178,0.49469491838576446
R_1_E_0_S_11_B_78.pt,135790592,135792303,80626897.5,0.40624091616008273,0.40624839759879466
R_1_E_0_S_15_B_68.pt,135790592,135792303,67471203.5,0.5031231361006218,0.5031293968112464
R_1_E_0_S_6_B_23.pt,135790592,135792296,69808507,0.48591057766358364,0.4859170287539729
R_1_E_0_S_30_B_92.pt,135790592,135792303,66679684.25,0.5089521058277734,0.5089582930926505
R_0_E_0_S_21_B_103.pt,135790592,135792310,62160400.5,0.5422333787306856,0.5422391702446184
R_0_E_0_S_1_B_44.pt,29362176,29364264,30218010.5,-0.029147516,-0.029074337
